External Institution,ANTH212,ARCH515,BTEC502,COMS200,ECON225,ECON347,ENVR201,GEOG203,GEOG205,GEOG302,INSY331,INSY334,INSY455,LLCU212,MGCR331,MGPO440,MGPO460,PHIL343,SOCI235,SOCI312,SOCI325,Total Distinct Courses
University of Melbourne,,1,,,1,1,1,,,,,1,,1,2,2,2,1,2,1,,12
Nanyang Technological University,,,,,2,1,2,1,,1,,,1,1,1,1,,2,1,,,11
The Hong Kong Polytechnic University,,,1,,2,,2,1,,,,,,,1,3,1,1,1,1,,10
The University of Edinburgh,,,,,2,1,1,1,3,,,,,,1,1,2,1,4,,,10
Institut d'Études Politiques (Sciences Po) (ALL CAMPUSES),1,,,,3,,2,1,,,,,,1,,5,,,4,4,1,9
Korea University,,,,,,,1,1,1,,1,,,,1,1,2,,1,,,8
The University of Western Australia (UWA),,,,1,2,,1,,,1,1,,,1,,,1,1,,,,8
The University of Manchester,1,,,,,,3,,1,,1,,,1,,2,3,,,1,,8
National University of Singapore,1,,,,,,2,1,,,1,,,,,,3,2,1,1,,8
The University of Hong Kong (HKU),,,,,4,,1,,,1,1,,,,1,2,,,1,,,7
University of Queensland (UQ),1,,,,2,1,,,,2,3,,,,1,,,,1,,,7
Concordia University,1,,,1,,,2,,,,,,,,,,1,1,2,1,,7
City University of Hong Kong,,,,,2,,2,,,1,,,,2,,1,1,,2,,,7
University of British Columbia (UBC) - All Campuses,,,,,1,,2,,,1,,,,,1,1,,4,1,,,7
University of Toronto,,,,,,,3,,,,,,,1,1,,,2,1,1,1,7
Lund University (LU),,1,,,,,2,,,1,,,,,1,1,2,,,,,6
The Australian National University (ANU),,,,,,1,1,,,,1,,1,,,,1,,1,,,6
University of Bologna,,,,,1,1,,,,,,,1,1,,1,,,1,,,6
University of Otago / Te Whare Wananga o Otago,,,,,1,,,1,,,,,,,1,1,1,1,,,,6
University College Dublin,,,,,2,,,,,,,,,2,2,2,,,1,1,,6
University of New South Wales (UNSW),,,,,,2,5,1,,,,,,,,3,1,,1,,,6
Autonomous University of Barcelona,,,,,1,,1,1,1,,,,,,2,,,1,,,,6
Université de Paris Dauphine,,,,,,,,,,,1,,1,1,,,2,,,1,,5
Copenhagen Business School,1,,,,,,,,,,,,2,,2,2,8,,,,,5
École Polytechnique Fédérale de Lausanne,,,,,,,3,1,,1,,,,,,,,1,4,,,5
University College London (UCL) - University of London,,,,1,1,,2,,,,,,,,,,,,2,,1,5
University of Leeds,1,,,1,,,,,,,,,,,1,1,,,1,,,5
The University of Auckland / Te Whare Wananga o Tamaki Makaurau,,,,,,,2,1,2,2,1,,,,,,,,,,,5
Luigi Bocconi University,,,,,,1,,,,,,,1,,,1,2,,,,,4
University of Mannheim,,,,,,1,,,,,,,,,1,1,1,,,,,4
University of Amsterdam,,,,,1,1,1,,,,,,,,,,3,,,,,4
Escuela Sup Admin Dir Empresas,,,,,,,1,,,,,,1,,2,7,,,,,,4
University of Bristol,1,,,,1,,3,,,,,,,,,1,,,,,,4
Sun Yat-Sen University,,,1,,,,1,,,1,,,,,,,,1,,,,4
Peking University,,,,,,,,1,,,,,,,1,,,,1,1,,4
Technical University of Denmark,,,,,,,2,1,,,,,,,,,1,,1,,,4
Comillas Pontifical University,,,,,,,1,,,,,,,1,,1,3,,,,,4
University of Sydney,,,,,2,,,,,,,,,,1,,1,1,,,,4
Toronto Metropolitan University (Post 2022),,,,,1,,,,,,,,,,1,,,1,1,,,4
Carleton University,,,,,,,3,,,,,,,,2,,,3,1,,,4
Memorial University of Newfoundland,,,,,,,,,,,,,,,1,,,1,1,,,3
Langara College,,,,,,,,,,,,,,,1,,,1,1,,,3
Monterrey Institute of Technology and Higher Education,,,,,,,2,,,,,,,,,,3,,1,,,3
Thompson Rivers University,,,,,,,1,,,,,,,,1,,,1,,,,3
Kyoto University,,,,,,,,,,,,,,,3,,,1,,1,,3
The Hong Kong University of Science and Technology,,,,,,,,,,,,,,,1,,2,,1,,,3
Singapore Management University,,,,,,,,,,,,,,,,1,1,,1,,,3
The University of Tokyo,,,,,1,,,,,,,,,,,1,,,1,,,3
The University of Nottingham,,,,,,,,,1,,,,,,,,1,1,,,,3
The Chinese University of Hong Kong,,,,,,,1,,,,,,,,,1,1,,,,,3
Simon Fraser University,,,,,1,,2,,,,,,,,1,,,,,,,3
University of Strasbourg,,,,,,,,,,,,,,,,1,2,,,1,,3
Université du Québec à Montréal (UQAM),,,,1,,,,,,,,,,1,1,,,,,,,3
Université Laval,,,,,1,,2,,,,,,,,,,,,1,,,3
University of the Andes,,,,,,,,,,,,,,,2,2,,,1,,,3
University of California - Berkeley,,,,,1,1,1,,,,,,,,,,,,,,,3
Catholic University of Chile,,,,,,,,,,,,,,,1,2,2,,,,,3
University of Winnipeg,,,,,2,,,,,,1,,,,1,,,,,,,3
Catholic University of Louvain,,,,,,,,,,,,,,,1,3,,,1,,,3
Catolica-Lisbon School of Business and Education,,,,,,,,,,,,,,,3,1,5,,,,,3
University of Warwick,,,,,,,,,,1,,,,,1,,1,,,,,3
Charles University in Prague,,,,,2,,,,,,,,,,,,,2,1,,,3
Berlin University of Technology,,,,,1,1,,,,,,,,,,2,,,,,,3
BI Norwegian Business School,,,,,,,,,,,,,,,2,1,5,,,,,3
University of Ottawa,,,,,,,,,,,,,,,2,,,2,1,,,3
University of North Carolina at Chapel Hill,,,,,1,,1,,,,,,,,,,,,,1,,3
University of Massachusetts Amherst,,,,,1,,1,,,,,,,,,,,1,,,,3
Yonsei University,,,1,,,,,,,,,,,1,2,,,,,,,3
University of Copenhagen,1,,,,,,2,,,,,,,3,,,,,,,,3
American University in Dubai,,,,,,,,,,,,,,,1,,1,,,,,2
The American University of Paris (AUP),,,,1,,,,,,,,,,,1,,,,,,,2
Tel Aviv University,,,,,,,,,,,1,,1,,,,,,,,,2
École de Technologie Supérieure (ETS),,,,,,,1,,,,,,,,,,,,1,,,2
École des Hautes Études Commerciales (HEC Paris),,,,1,,,,,,,,,,,2,,,,,,,2
Waseda University,,,,,4,,,,,,,,,,,2,,,,,,2
Uppsala University,,,,,,,1,,,,,,,,,,,,1,,,2
The University of Adelaide,,,,,1,,,,,1,,,,,,,,,,,,2
University of Calgary,,,,,,,,,,,,,,,,,,2,2,,,2
University of the Americas Puebla (UDLAP),,,,,,,,,,1,,,,,1,,,,,,,2
The University of Dublin (Trinity College),,,,,,,,,,,,,,,1,1,,,,,,2
The University of Glasgow,,,,,,,,,,,,,,,,,2,1,,,,2
Université Jean Moulin (Lyon III),,,,,,,,,,,,,,,,1,1,,,,,2
University of the West Indies - Cave Hill Campus,,,,,1,,1,,,,,,,,,,,,,,,2
Tsinghua University,,,,,,,,,,,,,,,1,,1,,,,,2
"University of St. Gallen/Graduate School of Business, Economics, Law and Social Sciences",,,,,,,,,,,,,,,,2,2,,,,,2
Universite de Montreal,,,,,1,,,,,,,,,,,,,2,,,,2
University of Oslo,1,,,,,,,,,,,,,,,,,,,1,,2
University of Malaya,1,,,,,,,,,1,,,,,,,,,,,,2
Sichuan University,,,,,,,,,,,1,,,,1,,,,,,,2
University of Geneva,,,,,1,,,,,,,,,,,,,,,1,,2
University of International Business and Economics (UIBE),,,,,,,,,,,1,,,,1,,,,,,,2
École des Hautes Études Commerciales de Montréal (HEC),,,,,,,,,,,,,,,1,,,,,1,,2
McMaster University,,,,,1,,,,,,,,,,1,,,,,,,2
FGV Brazil (Getulio Vargas Foundation),1,,,,,,,,,,,,,,,,1,,,,,2
Leiden University,,,,,,,1,,,,,,,,,,,,,1,,2
Luiss Guido Carli University,,,,,,,,,,,,,1,,,,2,,,,,2
Corvinus University of Budapest,,,,,,1,,,,,,,,,,2,,,,,,2
Dalhousie University,,,,,,1,1,,,,,,,,,,,,,,,2
Bogazici (Bosphorus) University,,,,,1,,,,,,,,,,,,,,1,,,2
Mount Allison University,,,,,1,,,,,,,,,,,1,,,,,,2
Mount San Antonio College,,,,1,,,,,,,,,,1,,,,,,,,2
Munich University of Technology,,,,,1,1,,,,,,,,,,,,,,,,2
IE University - Madrid,,,,,,,,,,,,,,,,1,6,,,,,2
Prague University of Economics and Business (VSE),,,,,1,,,,,,,,,1,,,,,,,,2
Bishops University,,,,,,,,,1,,,,,,1,,,,,,,2
Hunan University,,,,,1,,,,,,,,,,1,,,,,,,2
American University of Beirut,,,,,,,,1,,,,,,,,,,1,,,,2
Free University of Berlin,,,,,,,,,,,,,,1,,,,,,1,,2
Athabasca University,,,,1,,,,,,,,,,,,,,1,,,,2
Seminole State College of Florida,,,,,,,,1,,,,,,,1,,,,,,,2
University of Nottingham Ningbo China,,,,,,,,,,1,,,,,,,,,,,,1
University of New Brunswick (UNB) - All Campuses,,,,,,,,,,,,,,,,,,,1,,,1
University of Warsaw,,,,,,,,,,,,,,,,1,,,,,,1
Chengdu University of Technology,,,,,1,,,,,,,,,,,,,,,,,1
Georgia Institute of Technology,,,,,,,,,,,1,,,,,,,,,,,1
University of Torcuato di Tella,,,,,1,,,,,,,,,,,,,,,,,1
Colorado State University,,,,,,,1,,,,,,,,,,,,,,,1
University of Miami,,,,,,,,,,,,,,,,,,1,,,,1
Fudan University,,,,,,,,,,,,,,,2,,,,,,,1
University of Salvador,,,,,,,,,,,,,,,,1,,,,,,1
University of Northern British Columbia,,,,,,,,,,,,,,,1,,,,,,,1
University of North Carolina Wilmington (UNC Wilmington),,,,,,,1,,,,,,,,,,,,,,,1
University of Regina,,,,,,,,,,,,,,,1,,,,,,,1
Dongbei University of Finance and Economics,,,,,,,1,,,,,,,,,,,,,,,1
University of Western Ontario (UWO),,,,,,,,,,,,,,,2,,,,,,,1
East China Normal University,,,,,,,,,,,,,,,1,,,,,,,1
Ewha Womans University,,,,,,,,,,,,,,,,,,,1,,,1
Central China Normal University (CCNU),,,,,,,,,,,,,,,1,,,,,,,1
Shenzhen University,,,,,,,1,,,,,,,,,,,,,,,1
Catholic University of Leuven,,,,,,,,,,,,,,,1,,,,,,,1
University of Zurich,1,,,,,,,,,,,,,,,,,,,,,1
Amsterdam University College,,,,,1,,,,,,,,,,,,,,,,,1
"Arab Academy for Science, Technology and Maritime Transport",,,,,,,,,,,,,,,2,,,,,,,1
École Polytechnique,,,,,1,,,,,,,,,,,,,,,,,1
York University,,,,,,,,,,,,,,,,,,,1,,,1
Wuhan University of Technology (WHUT),,,,,,,,,,,,,,,1,,,,,,,1
Wilfrid Laurier University,,,,,,,,,,,,,,,1,,,,,,,1
Bard College,,,,,,,,,,,,,,,,,,,1,,,1
Victoria University Melbourne,,,,,,,,,,,,,,,1,,,,,,,1
Baruch College (CUNY),,,,,,,,,,,,,,,1,,,,,,,1
Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,1,,,,,,1
Université du Québec en Outaouais (UQO),,,,,,,,,,,,,,,1,,,,,,,1
Université du Québec - TÉLUQ Université,,,,2,,,,,,,,,,,,,,,,,,1
Université Paris-Saclay - CentraleSupélec,,,,,1,,,,,,,,,,,,,,,,,1
Université Paris Sorbonne (Paris IV) (Pre 2018),,,,,,,,,,,,,,,,,,,,1,,1
Université Panthéon Sorbonne (Paris I),1,,,,,,,,,,,,,,,,,,,,,1
Université Lumière (Lyon II),,,,,,,,,,,,,,,,,,,,1,,1
Boston University,,,,,,,1,,,,,,,,,,,,,,,1
Brazilian School of Public and Business Administration,,,,,,,,,,,,,,,,,1,,,,,1
Camosun College,,,,,,,,,,,,,,,1,,,,,,,1
HES Amsterdam School of Business,,,,,,,,,,,,,,,1,,,,,,,1
Capilano University,,,,,,,,,,,,,,,2,,,,,,,1
University of Massachusetts Lowell (UMass Lowell UML),,,,,,,,,,,,,,,,,,,,1,,1
Hitotsubashi University,,,,,,,,,,,,,,,,1,,,,,,1
HKU Space Community College,,,,,,,,,,,,,,,1,,,,,,,1
Queen's University,,,,,,,1,,,,,,,,,,,,,,,1
Trent University,,,,,,,,,,,,,,,1,,,,,,,1
Toulouse Business Schoole (TBS),,,,,,,,,,,,,,,,,1,,,,,1
Middle East Technical University,,,,,,,,,,,,,,,,,,,,1,,1
Tongji University,,1,,,,,,,,,,,,,,,,,,,,1
National Autonomous University of Mexico,,,,,,,,,,,,,,,3,,,,,,,1
National Taiwan University (NTU),,,,,,,,,,,,,,,,,3,,,,,1
Northwest Missouri State University,,,,,,,,,,,,,,,,,,1,,,,1
Northwestern University - Evanston Campus,,,,,,,,,,,,,,,,,,1,,,,1
Polytechnique Montréal,,,,,,,,,,,,,,,,,,,2,,,1
Pontifical Catholic University of Rio de Janeiro,,,,,,,,,,,,,,,,,1,,,,,1
Renmin University of China,,,,,,,,,,,,,,1,,,,,,,,1
Hillsborough Community College,,,,,,,,,,,,,,,,,,1,,,,1
Rio de Janeiro School of Law (FGV DIREITO RIO),1,,,,,,,,,,,,,,,,,,,,,1
The Hebrew University of Jerusalem,,,,,,1,,,,,,,,,,,,,,,,1
Saint Louis University,,,,,,,,,,,,,,,1,,,,,,,1
Saint-Petersburg State University,,,,,,,,,,,,,,,1,,,,,,,1
San Diego State University,,,,,,,,,,,,,,,,,,1,,,,1
San Francisco State University,,,,,,,,1,,,,,,,,,,,,,,1
SciencesPo Paris,,,,,,,1,,,,,,,,,,,,,,,1
Stanford University,,,,,,,,,,,,,,1,,,,,,,,1
Sophia University,,,,,1,,,,,,,,,,,,,,,,,1
Seoul National University,,,,,,,,,,,,,,,1,,,,,,,1
Trinity Western University,,,,,,,,,,,,,,,,,,,1,,,1
Lancaster University,,,,,,,,,,,,,,,,,1,,,,,1
University of Alberta,,,,,,,,,,,,,,,,,,1,,,,1
King Saud University,1,,,,,,,,,,,,,,,,,,,,,1
University of London - London School of Economics and Political Science,1,,,,,,,,,,,,,,,,,,,,,1
University of Liverpool,,,,,,,,1,,,,,,,,,,,,,,1
Shanghai International Studies University,,,,,,,,,,,,,,,1,,,,,,,1
University of Lausanne,,,,,,,,,,,,,,,,1,,,,,,1
University of Jordan,,,,,,,,,,,,,,,1,,,,,,,1
University of Hawaii at Mänoa,,,,,1,,,,,,,,,,,,,,,,,1
University of Guelph,,,,,,,,,,,,,,,1,,,,,,,1
University of Groningen,,,,,,,,,,,,,,2,,,,,,,,1
IE University,,,,,,,,,,,1,,,,,,,,,,,1
University of Freiburg,,,,,,,1,,,,,,,,,,,,,,,1
University of Delhi,,,,,,,,,,,,,,,1,,,,,,,1
University of Commercial Sciences of Angers,,,,,,,,,,,,,,,,,1,,,,,1
University of Cape Town,,,,,,,,,,1,,,,,,,,,,,,1
University of California - Santa Cruz,,,,,,,,,,,,,,,,,,1,,,,1
University of California - Santa Barbara,,,,,,,1,,,,,,,,,,,,,,,1
ISCTE - University Institute of Lisbon,,,,,,,,,,,,,,,,,1,,,,,1
Jinan University,,,,,1,,,,,,,,,,,,,,,,,1
John Cabot University,,,,1,,,,,,,,,,,,,,,,,,1
Kean University,,,,,,,,1,,,,,,,,,,,,,,1
Keio University,,,,,1,,,,,,,,,,,,,,,,,1
University of Barcelona,,,,,,,,,,,,,,,,,,1,,,,1
Acadia University,,,,,1,,,,,,,,,,,,,,,,,1
